"sub","mapped_any","status_known","status","ts","decompiled_path"
"sub_401000","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401000.c"
"sub_401070","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401070.c"
"sub_401080","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401080.c"
"sub_4010c0","yes","yes","✅","math/Sub416510Rotation.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4010C0.c"
"sub_401120","yes","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401120.c"
"sub_401180","yes","yes","✅ (~90%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401180.c"
"sub_401190","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401190.c"
"sub_401300","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401300.c"
"sub_4013f0","yes","yes","✅ (~95%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4013F0.c"
"sub_401430","yes","yes","✅ (~95%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401430.c"
"sub_401470","yes","yes","✅ (~95%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401470.c"
"sub_4014b0","yes","yes","✅ (~95%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4014B0.c"
"sub_401500","yes","yes","✅ (~95%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401500.c"
"sub_401540","yes","yes","🟡","MetabolismService.ts`, косвенно Three.js","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401540.c"
"sub_401590","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401590.c"
"sub_4015b0","yes","yes","✅ (~92%)","math/Sub4015F0.ts`, `growth/lightTracingSub40E460.ts`, `world/SectionSpatialQueriesSub40x.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4015B0.c"
"sub_4015d0","yes","yes","✅ (~92%)","math/Sub4015F0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4015D0.c"
"sub_4015f0","yes","yes","✅ (~92%)","math/Sub4015F0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4015F0.c"
"sub_401610","yes","yes","✅ (~94%)","world/SectionSpatialQueriesSub40x.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401610.c"
"sub_401690","yes","yes","✅ (~92%)","world/SectionSpatialQueriesSub40x.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401690.c"
"sub_401730","yes","yes","✅ (~90%)","config/SectionTypeRegistrySub401730.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401730.c"
"sub_4017d0","yes","yes","🟡 (~80%)","config/SectionTypeRegistrySub401730.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4017D0.c"
"sub_401830","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401830.c"
"sub_4019f0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4019F0.c"
"sub_401a50","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401A50.c"
"sub_401a70","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401A70.c"
"sub_401ae0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401AE0.c"
"sub_401af0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401AF0.c"
"sub_401b00","yes","yes","🟡 (~86%)","world/SectionSpatialQueriesSub40x.ts`, `growth/branchingDispatcherSub417F40.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401B00.c"
"sub_401b10","yes","yes","🟡 (~88%)","world/SectionSpatialQueriesSub40x.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401B10.c"
"sub_401bf0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401BF0.c"
"sub_401c10","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401C10.c"
"sub_401c90","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401C90.c"
"sub_401ca0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401CA0.c"
"sub_401cb0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401CB0.c"
"sub_401ce0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401CE0.c"
"sub_401dd0","yes","yes","🟡 (~84%)","config/IniRegistrySub408600.ts`, `growth/sub40DC90GrowthTick.ts`, `growth/lightTracingSub40E460.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401DD0.c"
"sub_401e70","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_401E70.c"
"sub_402040","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402040.c"
"sub_4022a0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4022A0.c"
"sub_4022b0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4022B0.c"
"sub_402310","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402310.c"
"sub_402600","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402600.c"
"sub_402880","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402880.c"
"sub_402aa0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402AA0.c"
"sub_402bc0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402BC0.c"
"sub_402cd0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402CD0.c"
"sub_402e10","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402E10.c"
"sub_402ee0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402EE0.c"
"sub_402f60","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_402F60.c"
"sub_4031b0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4031B0.c"
"sub_403210","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_403210.c"
"sub_403230","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_403230.c"
"sub_4032a0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4032A0.c"
"sub_4032d0","yes","yes","✅ (~90%)","config/IniRegistrySub408600.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4032D0.c"
"sub_4033d0","yes","yes","✅ (~90%)","config/IniRegistrySub408600.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4033D0.c"
"sub_403410","yes","yes","✅ (~90%)","config/IniRegistrySub408600.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_403410.c"
"sub_403440","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_403440.c"
"sub_4034c0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4034C0.c"
"sub_4034d0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4034D0.c"
"sub_403500","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_403500.c"
"sub_403520","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_403520.c"
"sub_403580","yes","yes","🟡 (~82%)","config/IniRegistrySub408600.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_403580.c"
"sub_4036f0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4036F0.c"
"sub_4037b0","yes","yes","✅ (~90%)","config/IniRegistrySub408600.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4037B0.c"
"sub_4038b0","yes","yes","🟡 (~86%)","config/IniRegistrySub408600.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4038B0.c"
"sub_4039a0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4039A0.c"
"sub_403a90","yes","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_403A90.c"
