"sub","mapped_any","status_known","status","ts","reachable_from_runtime","runtime_depth","phase","priority_score","direct_callers","direct_mapped_callers","direct_runtime_callers","total_call_sites","mapped_call_sites","caller_sample"
"sub_451320","no","no","","","yes","2","P1","666","1","1","1","1","1","sub_450e30"
"sub_472410","no","no","","","yes","1","P1","666","1","1","1","1","1","sub_4143e0"
"sub_472420","no","no","","","yes","1","P1","666","1","1","1","1","1","sub_4143e0"
"sub_472460","no","no","","","yes","1","P1","666","1","1","1","1","1","sub_416510"
"sub_472470","no","no","","","yes","1","P1","666","1","1","1","1","1","sub_416510"
"sub_472480","no","no","","","yes","1","P1","666","1","1","1","1","1","sub_416510"
"sub_472490","no","no","","","yes","1","P1","666","1","1","1","1","1","sub_416510"
"sub_4724a0","no","no","","","yes","1","P1","666","1","1","1","1","1","sub_417c90"
"sub_4724b0","no","no","","","yes","1","P1","666","1","1","1","1","1","sub_417ff0"
"sub_441e00","no","no","","","yes","3","P2","405","6","1","1","20","5","sub_43fd00, sub_4401a0, sub_440720, sub_440d50, sub_441ef0, sub_442410"
"sub_44b900","no","no","","","yes","3","P2","388","2","1","2","3","1","sub_44a640, sub_44c260"
"sub_44c260","no","no","","","yes","3","P2","378","1","1","1","3","3","sub_44a640"
"sub_403440","no","no","","","yes","3","P2","375","3","1","1","5","2","sub_4037b0, sub_440d50, sub_44bfe0"
"sub_403b40","no","no","","","yes","3","P2","372","1","1","1","2","2","sub_403a90"
"sub_4440f0","no","no","","","yes","3","P2","372","1","1","1","2","2","sub_44a640"
"sub_401830","no","no","","","yes","3","P2","371","6","1","1","6","1","sub_401c10, sub_408700, sub_40d6f0, sub_4100e0, sub_413f50, sub_451d70"
"sub_43fbb0","no","no","","","yes","3","P2","366","1","1","1","1","1","sub_472560"
"sub_444090","no","no","","","yes","3","P2","366","1","1","1","1","1","sub_44a640"
"sub_44a600","no","no","","","yes","3","P2","366","1","1","1","1","1","sub_43fd00"
"sub_451460","no","no","","","yes","3","P2","321","1","0","1","1","0","sub_451320"
"sub_4517d0","no","no","","","yes","3","P2","321","1","0","1","1","0","sub_451320"
"sub_4518f0","no","no","","","yes","3","P2","321","1","0","1","1","0","sub_451320"
"sub_451990","no","no","","","yes","3","P2","321","1","0","1","1","0","sub_451320"
"sub_472430","no","no","","","yes","2","P1","266","1","1","1","1","1","sub_414bb0"
"sub_42dbc0","no","no","","","no","","P3-unreached","65","32","0","0","65","0","sub_406d10, sub_428830, sub_428dd0, sub_429000, sub_429330, sub_4293c0, sub_4294f0, sub_429810"
